x,y,word
-1.989563,-0.59652656,og
-2.188228,-0.30648556,hybrid
-0.4056776,-0.17818978,strain
0.42226973,-0.17601155,strong
-0.024287801,-0.053572517,punch
-0.6724759,-0.14649646,name
0.5589325,0.90515476,high
-0.32087526,0.09907175,first
-0.8395403,0.877354,plant
0.077081345,0.07871357,tends
-0.36964163,0.3045875,produce
-0.6346109,0.74148136,large
-0.5816995,0.16441177,dark
-1.2624418,0.16569062,green
-1.0495039,0.54350865,buds
0.48155272,0.0760335,users
2.4030468,-0.69441676,body
0.30608857,-0.017031929,effect
-0.556203,0.17981724,indica
4.1115255,0.08664558,pain
3.1179006,-0.001427003,relief
1.105303,-0.38837847,cerebral
0.6024541,0.004261436,feeling
-0.6319598,0.07943755,sativa
0.36663213,0.008712758,side
-1.7808022,-0.083462186,white
-1.3134768,0.012952529,widow
0.18661253,0.11599824,especially
-0.28826874,-0.19947913,potent
-0.66074103,-0.10728917,cut
-0.48471838,0.43284652,grown
0.32432824,-0.15898584,alongside
-0.7311181,-0.024397172,hawaiian
-0.09914251,-0.0557641,like
-0.22810176,-0.054223258,maui
-0.5596672,0.005295977,gold
-1.2518785,-0.12670957,phenotype
-1.3172224,-0.61430955,diesel
-1.6243274,-0.057488915,skunk
-0.2219566,-0.2084199,rich
-0.4274831,-0.7775597,earthy
-0.5040032,-0.02744868,taste
-0.29431945,-0.76444393,notes
-0.3029962,0.04505806,hash
-0.5363247,0.12425646,trichomes
0.061159726,0.02053637,giving
-0.306509,-0.03746452,foliage
-0.14590864,-0.05045397,odor
1.7097908,-0.45531797,mind
1.482417,-0.56842476,euphoria
1.9686453,-0.4275126,relaxation
-0.30149126,0.12967366,available
-1.6526546,0.15175843,seed
-0.45771232,0.012280175,bank
-2.4035869,0.038096055,bred
0.45319554,0.16746938,medical
-2.5322032,0.12129058,seeds
-0.6732106,0.13821723,breeders
-2.3797662,-0.19993056,genetics
0.12568684,0.154048,due
-1.1386167,-0.20146057,genetic
-0.38115057,0.002195535,heritage
1.1159515,0.5913348,thc
-1.0282477,-0.85266393,sweet
-0.36537367,-0.17297575,spicy
-0.079281375,-0.16404049,bouquet
0.16571075,-0.3220829,subtle
-0.4279715,-0.29491648,fruit
-0.7401793,-0.74668276,flavors
-0.7773442,-0.39840642,mix
-0.023016226,-0.10763384,herbal
1.1253277,-0.4912734,uplifting
2.2570593,-0.73565465,effects
-0.7443651,0.28574294,one
-0.83028346,-0.47368327,pungent
-0.2671193,-0.123153046,similar
-1.110049,-0.24113947,chemdawg
-1.7035016,-0.09408604,two
-1.4780258,0.11864655,strains
